,Product ID,Type,Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Air temperature [C],Process temperature [C]
0,M14860,M,1551.0,42.8,0.0,0,25.100000000000023,35.60000000000002
1,L47181,L,1408.0,46.3,3.0,0,25.19999999999999,35.69999999999999
2,L47182,L,,49.4,5.0,0,25.100000000000023,35.5
3,L47183,L,1433.0,39.5,7.0,0,25.19999999999999,35.60000000000002
4,L47184,L,1408.0,40.0,9.0,0,25.19999999999999,35.69999999999999
5,M14865,M,1425.0,41.9,11.0,0,25.100000000000023,35.60000000000002
6,L47186,L,1558.0,42.4,14.0,0,25.100000000000023,35.60000000000002
7,L47187,L,1527.0,40.2,16.0,0,25.100000000000023,35.60000000000002
8,M14868,M,1667.0,28.6,,0,25.30000000000001,35.69999999999999
9,M14869,M,1741.0,28.0,21.0,0,25.5,
10,H29424,H,1782.0,23.9,24.0,0,25.399999999999977,35.89999999999998
11,H29425,H,1423.0,44.3,29.0,0,25.600000000000023,36.10000000000002
12,M14872,M,1339.0,51.1,34.0,0,25.600000000000023,36.10000000000002
13,M14873,M,1742.0,30.0,37.0,0,25.600000000000023,36.19999999999999
14,L47194,L,2035.0,19.6,40.0,0,25.600000000000023,36.19999999999999
15,L47195,L,1542.0,48.4,42.0,0,25.600000000000023,36.19999999999999
16,M14876,M,1311.0,46.6,44.0,0,25.600000000000023,36.19999999999999
17,M14877,M,1410.0,45.6,47.0,0,25.69999999999999,36.19999999999999
18,H29432,H,1306.0,54.5,50.0,0,25.80000000000001,36.19999999999999
19,M14879,M,1632.0,32.5,55.0,0,25.899999999999977,36.30000000000001
20,H29434,H,1375.0,42.7,58.0,0,25.899999999999977,
21,L47201,L,1450.0,44.8,63.0,0,25.80000000000001,36.30000000000001
22,M14882,M,1581.0,30.7,,0,25.899999999999977,
23,L47203,L,1758.0,25.7,68.0,0,26.0,36.39999999999998
24,M14884,M,1561.0,37.3,70.0,0,26.0,36.39999999999998
25,L47205,L,1861.0,23.3,73.0,0,26.0,36.5
26,L47206,L,1512.0,39.0,75.0,0,26.100000000000023,36.5
27,H29441,H,1811.0,24.6,77.0,0,26.100000000000023,36.39999999999998
28,L47208,L,1439.0,44.2,82.0,0,26.100000000000023,36.39999999999998
29,L47209,L,1693.0,30.1,84.0,0,26.0,36.39999999999998
30,M14890,M,1339.0,48.2,86.0,0,26.100000000000023,36.5
31,L47211,L,1798.0,25.5,89.0,0,26.0,36.39999999999998
32,L47212,L,1419.0,48.3,91.0,0,26.0,36.39999999999998
33,L47213,L,1665.0,32.5,93.0,0,25.899999999999977,36.30000000000001
34,M14894,M,1559.0,34.7,95.0,0,25.80000000000001,36.10000000000002
35,M14895,M,1452.0,48.6,98.0,0,25.80000000000001,36.19999999999999
36,M14896,M,1581.0,36.7,101.0,0,25.899999999999977,36.19999999999999
37,L47217,L,1439.0,39.2,104.0,0,25.80000000000001,36.10000000000002
38,H29452,H,1379.0,50.7,106.0,0,25.899999999999977,36.19999999999999
39,L47219,L,1350.0,52.5,111.0,0,25.80000000000001,36.10000000000002
40,L47220,L,1362.0,45.4,,0,25.80000000000001,
41,L47221,L,1368.0,50.8,115.0,0,25.80000000000001,36.10000000000002
42,M14902,M,1368.0,49.1,117.0,0,25.80000000000001,36.10000000000002
43,H29457,H,1372.0,48.5,120.0,0,25.80000000000001,
44,M14904,M,1472.0,47.5,125.0,0,25.80000000000001,36.10000000000002
45,L47225,L,1489.0,49.1,128.0,0,25.80000000000001,36.10000000000002
46,M14906,M,1843.0,25.8,130.0,0,25.69999999999999,36.0
47,L47227,L,1418.0,46.3,133.0,0,25.80000000000001,36.10000000000002
48,H29462,H,1425.0,53.9,135.0,0,25.80000000000001,36.19999999999999
49,M14909,M,1412.0,44.1,140.0,0,25.899999999999977,36.19999999999999
50,L47230,L,2861.0,4.6,143.0,1,25.899999999999977,36.10000000000002
